Substance,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,AZE,Azerbaijan,0.999837223,0.98030084,1.031273752,1.17932748,1.305904176,1.436377923,1.188333917,1.093080718,0.993951309,0.914530431,0.871984863,0.7552681,0.684089512,0.67911484,0.615626227,0.511305011,0.385464766,0.279744168,0.278891749,0.213156739,0.193472029,0.218675,0.235682477,0.229517273,0.232966167,0.227055865,0.237100823,0.235152512,0.237790873,0.25183102,0.259718831,0.253615061
CO2,BDI,Burundi,0.038040336,0.048827983,0.039498388,0.046684361,0.050435506,0.054064302,0.062589141,0.065112164,0.065557038,0.068067307,0.063756825,0.049080336,0.043442091,0.036522502,0.041782399,0.0350893,0.041096403,0.063312725,0.036149153,0.034790484,0.047561662,0.054777497,0.050060794,0.053550731,0.045965219,0.05063469,0.05574204,0.063441028,0.0829426,0.086083284,0.07674396,0.08028701
CO2,BEL,Belgium,0.329556376,0.33446668,0.323710049,0.321567174,0.325191489,0.320894822,0.329123687,0.309566782,0.311954918,0.291154239,0.285087093,0.284436396,0.263351671,0.271394177,0.260105711,0.245765298,0.236249796,0.220483632,0.222831084,0.211291782,0.220503767,0.197409219,0.19322903,0.195109938,0.179384228,0.184321031,0.180080537,0.174484846,0.172564608,0.168079472,0.161179984,0.160419071
CO2,BEN,Benin,0.038340124,0.032567165,0.034356802,0.032905453,0.03280763,0.031584948,0.079116223,0.094724431,0.087832266,0.091666373,0.092378331,0.105142077,0.115947308,0.125391966,0.12793488,0.137751494,0.181944111,0.195098882,0.184677682,0.193555706,0.205290396,0.194647826,0.176921025,0.173578396,0.179156356,0.187167925,0.221307514,0.213498045,0.227788893,0.209235906,0.199239274,0.200932935
CO2,BFA,Burkina Faso,0.046030645,0.056281943,0.049961771,0.05064889,0.054564612,0.053065418,0.052210119,0.079590772,0.069951565,0.067138065,0.067403784,0.071334843,0.070934117,0.072724089,0.063029778,0.061814922,0.058189848,0.078659645,0.085760909,0.080103895,0.079243152,0.078040281,0.084510157,0.093334356,0.080587669,0.109338827,0.10105714,0.112276858,0.114784332,0.11315189,0.109844186,0.109805384
CO2,BGD,Bangladesh,0.077708921,0.071437458,0.075732837,0.076344516,0.079380294,0.092051657,0.089633955,0.092277857,0.089650545,0.091609007,0.094108928,0.105076217,0.106537024,0.106035666,0.106422639,0.106438305,0.107280691,0.105996832,0.111840115,0.112956686,0.118696582,0.118610857,0.117645614,0.114845499,0.113988947,0.122010986,0.116729881,0.116944422,0.115286509,0.115853008,0.111250733,0.106753535
CO2,BGR,Bulgaria,0.725729665,0.64561884,0.666717723,0.685395685,0.643723536,0.638868576,0.611518616,0.686136648,0.631803281,0.608117508,0.55727711,0.55935205,0.498502617,0.53298048,0.480804272,0.459096992,0.439210991,0.441314648,0.393155494,0.345252033,0.35909366,0.390507695,0.351975215,0.315751087,0.330681183,0.33736533,0.308362497,0.314574951,0.287948576,0.265338909,0.243561667,0.269976205
CO2,BHR,Bahrain,0.626160436,0.542870033,0.598943964,0.574006845,0.5861132,0.573218885,0.570546855,0.569701378,0.576245465,0.555403734,0.541080546,0.546806842,0.552589833,0.537947913,0.503482124,0.553255797,0.56588668,0.530821372,0.53475144,0.521251028,0.520911374,0.513719942,0.516024223,0.520483543,0.51719919,0.507205669,0.489953458,0.473725292,0.467697464,0.494163792,0.515872125,0.518835735
CO2,BHS,Bahamas,0.29008932,0.287113222,0.269780731,0.26456247,0.274330861,0.297133223,0.323234544,0.281009312,0.32730565,0.272844086,0.281629459,0.277905104,0.269256407,0.220443479,0.241185771,0.216032097,0.231897529,0.258395588,0.25769685,0.227504898,0.248003731,0.253827819,0.299159926,0.299219781,0.288999075,0.270102556,0.280685963,0.282245889,0.319281164,0.30941529,0.335021517,0.328066737
CO2,BIH,Bosnia and Herzegovina,3.003468872,3.151174495,2.509738813,2.145358557,0.519559819,0.457064714,0.301427845,0.4409564,0.482445435,0.434048523,0.503575426,0.485347606,0.485950787,0.479157307,0.475559371,0.480713253,0.505678015,0.503991924,0.524590324,0.540928648,0.549486711,0.61876579,0.576047791,0.560590149,0.496741431,0.482525814,0.527208147,0.521485537,0.504777007,0.463097165,0.473430074,0.301232507
CO2,BLR,Belarus,1.20251208,1.169777273,1.16854576,1.089016449,1.044017556,1.041817397,1.029470487,0.933034323,0.83726416,0.778275992,0.708260629,0.663038833,0.635115139,0.600979504,0.572117226,0.531210168,0.501848796,0.451782654,0.430999276,0.409308197,0.406626705,0.368225036,0.369635481,0.365138114,0.355700457,0.344293748,0.35374317,0.351705789,0.35892083,0.341600255,0.317214739,0.316367863
CO2,BLZ,Belize,0.365819255,0.395077847,0.308050473,0.27058144,0.252712358,0.277512142,0.230633892,0.355040334,0.344609877,0.345014127,0.312337559,0.30685969,0.284280749,0.339983819,0.307945821,0.309901111,0.306141774,0.285968037,0.260156913,0.296321296,0.318024409,0.316836954,0.336480434,0.356951725,0.332932816,0.358550396,0.356814088,0.296787891,0.259835005,0.238695431,0.240215005,0.248926742
CO2,BMU,Bermuda,0.168676385,0.16572806,0.137408949,0.14246189,0.135350271,0.127432645,0.128619113,0.116350285,0.113112256,0.115616382,0.105802107,0.099216465,0.107350033,0.130598555,0.130244368,0.129289035,0.13288845,0.142119907,0.138419849,0.133517447,0.16132838,0.139231708,0.167850516,0.163691797,0.213459904,0.176880562,0.215527783,0.153984913,0.173587058,0.170889073,0.151443197,0.165514154
CO2,BOL,Bolivia,0.209351256,0.208422331,0.220793698,0.252203083,0.259795502,0.223911884,0.207171195,0.217771272,0.195892922,0.185345602,0.180307687,0.173958594,0.175248519,0.187107878,0.187067072,0.189625314,0.202190873,0.208363161,0.212923966,0.220175946,0.228822895,0.238250811,0.237460227,0.237973119,0.244918489,0.237582252,0.243072634,0.241760186,0.236791436,0.225321289,0.220932934,0.230584423
CO2,BRA,Brazil,0.145827655,0.148943042,0.151940991,0.151567802,0.147932438,0.152799112,0.162020082,0.167332815,0.171904129,0.175894935,0.179881545,0.177857114,0.172518011,0.170734659,0.168725863,0.164747222,0.15980301,0.157255508,0.156994004,0.146899527,0.154741668,0.155344853,0.164245303,0.167726424,0.175153971,0.171397749,0.16564707,0.167009134,0.156268173,0.15374957,0.147643227,0.156627975
